clean_text_string,modularity_class
actie kozp bevestigd vaststaande feit niks niks anders verdienmodel uitkomst precies zoals jerry sylvana hadden gehoopt zielig roepen zie nou wel racisme uitlokken tevoorspelbaar,0
klasse geregeld d66 gl pvda kozp ff doorzetten feestje weg kerstdagen feestdagen zeggen volgende wel kapot pestenisgeenracisme wokeisajoke wokeiseenkapitalistischeziekte,0
natuurlijk hierom lachen kozp hoor dewereldbestaatnietuitvooroftegen,0
prima verschillen we enorm mening zie uitlokking volendam namelijk zoveel linkse grachtengordel hobbies wisten verdienmodel demonstranten kozp gevolg veroordelen oorzaak begon,0
opvalt politie alleen ingrijpt geld gaat zoals woningen afnemen huisjes melkers politie wonen kozp utrecht wappies vrijheid,1
o nee toetert keihard megafoon oor racist kozp aangevallen tuurlijk joop,1
kozp verdien model industrie betaald linkse lobby moeten per jaar opvallender,1
zie kozp begint mensen megafoon gezicht schelden,1
okay kozp terroristen,1
filmpje kozp laat zien begonnen niks nos maken jou realiteitszin past ligt jou nos,1
kozp kwam alleen vreedzaam gezichten schreeuwen megafoons mag,1
zaterdag erna emma stopt sponsoring maandag vrijheid meningsuiting staat druk weer jaar voordat kozp weer feestjes gaat verpesten,1
vooral anti kozp echt anders aanmoedigt mensen mening gezicht schoppen akwasi,1
zwaar gelovigen stuk toleranter kozp zie megafoon homo huwelijk staan roeptoeteren,1
zie jij gelovigen homo bruiloft verstoren mening kozp zieke intolerante club,1
nederland helemaal nooit donkere onderdrukt blanke roetveeg mijnwerkers wel immigranten ooit allemaal vrijwillig naartoe gekomen vele gestart uitkering betaald racisten kozp leugen,1
sinterklaas sinds kozp stuk minder leuk gelijk ligt sinterklaas,1
kozp gewoon hadden laten lopen allemaal doof,1
bent racist eieren gooit aldus kozp definitie racisme steeds vloeibaarder steeds moeilijker club serieus nemen,1
kozp duidelijk racisten,1
lijkt inmiddels doel,1
kozp aanhang beweert zelfs media hen kwaad daglicht stelt totaal losgerukt realiteit mensen,2
denk jij zien dealen feit zwarte piet onderdeel blijft feest discussie allang afgelopen gebleken draagvlak veranderen piet kozp verloren,2
niemand maakt vergelijking zwarte medemens behalve jullie iedereen wilde vroeger zwarte piet snap ga echt racisme aanpakken joh niemand jullie merendeel nederlanders donkere huidskleur kozp,2
2 miljoen kozp aanhangers misschien,2
demonstratie tevoren aankondigt zoals hoort politie zorgen voldoende mankracht h vooral escalatie voorkomen denken eigen veiligheid volendam kozp tuig,0
h oliebol kamervragen gaat stellen racistische aanvallen kozp,0
